Player,Pos,GP,GS,MIN,G,A,G+A,YC,RC,MOTM,Career Caps,Career Goals,Career Assists,Career G+A
"Aaronson, Brenden",F,3,1,108,0,0,0,0,0,0,18,5,4,9
"Acosta, Kellyn",M,6,3,337,0,1,1,0,0,0,51,2,4,6
"Adams, Tyler",M,5,5,355,0,0,0,0,0,0,27,1,0,1
"Arriola, Paul",F,2,1,59,1,1,2,0,0,0,44,9,6,15
"Cannon, Reggie",D,2,1,104,0,0,0,0,0,0,24,1,2,3
"de la Torre, Luca",M,3,2,225,0,0,0,0,0,0,7,0,1,1
"Dest, Sergiño",D,2,2,166,0,0,0,0,0,0,17,2,2,4
"Ferreira, Jesús",F,4,2,205,1,1,2,0,0,0,9,3,4,7
"Long, Aaron",D,2,0,35,0,0,0,1,0,0,23,3,2,5
"McKennie, Weston",M,3,3,264,1,0,1,0,0,2,31,9,3,12
"Morris, Jordan",F,6,1,133,0,0,0,0,0,0,46,10,8,18
"Musah, Yunus",M,5,5,390,0,0,0,0,0,1,16,0,2,2
"Palmer-Brown, Erik",D,1,0,10,0,0,0,0,0,0,3,0,0,0
"Pefok, Jordan",F,1,0,30,0,0,0,0,0,0,9,1,0,1
"Pepi, Ricardo",F,4,3,218,0,0,0,0,0,0,11,3,3,6
"Pulisic, Christian",F,6,5,420,4,0,4,1,0,1,48,21,9,30
"Reyna, Gio",F,3,0,104,0,0,0,0,0,0,12,4,1,5
"Richards, Chris",D,2,2,180,0,0,0,0,0,0,8,0,0,0
"Robinson, Antonee",D,6,6,540,1,2,3,0,0,1,25,2,5,7
"Robinson, Miles",D,5,5,425,0,0,0,1,0,1,20,3,0,3
"Roldan, Cristian",M,1,0,6,0,0,0,0,0,0,31,0,2,2
"Steffen, Zack",GK,3,3,270,0,0,0,0,0,0,29,0,0,0
"Turner, Matt",GK,3,3,270,0,0,0,0,0,0,16,0,0,0
"Weah, Tim",F,4,4,270,0,0,0,2,0,0,22,2,2,4
"Yedlin, DeAndre",D,2,2,141,0,0,0,1,0,0,73,0,8,8
"Zardes, Gyasi",F,2,1,87,0,0,0,0,0,0,68,14,10,24
"Zimmerman, Walker",D,5,5,450,1,1,2,0,0,0,28,3,1,4
OWN GOAL,,,,,0,,,,,,,,,
TOTALS,,6,6,540,9,6,15,6,0,6,,,,
